,0
0,6058
1,12375
2,13552
3,4342
4,7424
5,14006
6,10163
7,8857
8,3393
9,461
10,6657
11,3264
12,4011
13,14001
14,1121
15,11919
16,14459
17,11341
18,8248
19,2094
20,6852
21,14664
22,4370
23,13722
24,3141
25,12716
26,10905
27,12853
28,2846
29,117
30,4505
31,5337
32,4085
33,8276
34,5416
35,4887
36,6928
37,5278
38,8412
39,15029
40,12753
41,488
42,2526
43,4578
44,13484
45,8940
46,1554
47,6329
48,12063
49,13690
50,5520
51,7190
52,15256
53,8282
54,2664
55,10286
56,1780
57,12920
58,5372
59,3523
60,8171
61,2972
62,3570
63,6075
64,2641
65,2631
66,13886
67,6739
68,13740
69,10454
70,6878
71,14659
72,14860
73,2538
74,9238
75,15446
76,4661
77,2087
78,6503
79,3539
80,3144
81,3456
82,1514
83,11072
84,10251
85,2722
86,11766
87,15033
88,7215
89,10580
90,12899
91,15012
92,6372
93,8885
94,1908
95,670
96,9324
97,7518
98,9984
99,1706
100,5325
101,6847
102,15401
103,8617
104,3932
105,14665
106,3037
107,4965
108,12852
109,4223
110,6019
111,6482
112,1526
113,13345
114,2735
115,3605
116,11936
117,3078
118,3275
119,4180
120,7958
121,4928
122,93
123,4523
124,11525
125,3791
126,8133
127,1132
128,10755
129,6807
130,3810
131,15257
132,11729
133,11593
134,7062
135,934
136,14720
137,2660
138,15122
139,9911
140,3505
141,273
142,1582
143,4351
144,6046
145,6835
146,13133
147,5835
148,1689
149,587
150,14178
151,3206
152,1625
153,8587
154,4919
155,3258
156,795
157,4364
158,11103
159,31
160,3184
161,878
162,8597
163,4620
164,9651
165,1937
166,882
167,222
168,11932
169,13859
170,12807
171,1735
172,9222
173,3012
174,8454
175,10278
176,15581
177,15561
178,6128
179,11740
180,4565
181,5017
182,10518
183,5420
184,12682
185,12793
186,9253
187,189
188,7420
189,8487
190,5861
191,13490
192,7451
193,6178
194,1303
195,15000
196,426
197,4233
198,15059
199,15304
200,15357
201,14741
202,1293
203,11315
204,492
205,3534
206,1517
207,5651
208,10573
209,14839
210,7669
211,4573
212,10884
213,10178
214,9697
215,14340
216,5894
217,13368
218,14330
219,14258
220,2383
221,13938
222,7461
223,9943
224,8062
225,8849
226,11788
227,10699
228,4671
229,8186
230,12193
231,14785
232,2965
233,13415
234,1645
235,8329
236,3728
237,9924
238,9831
239,434
240,9571
241,8080
242,9262
243,12997
244,14342
245,5168
246,452
247,10153
248,5801
249,7118
250,10861
251,3824
252,12483
253,12156
254,11673
255,12108
256,3315
257,4395
258,13753
259,9728
260,10004
261,3260
262,6256
263,10064
264,10027
265,4824
266,312
267,5713
268,3645
269,15709
270,11645
271,2888
272,645
273,15679
274,5718
275,309
276,7732
277,14322
278,7567
279,11984
280,2483
281,15426
282,14902
283,3585
284,13603
285,5782
286,7791
287,3488
288,2036
289,11483
290,14021
291,12289
292,9092
293,8455
294,10390
295,8260
296,5026
297,9587
298,3224
299,15335
300,5845
301,1060
302,14975
303,11436
304,6088
305,6452
306,11834
307,14126
308,4861
309,14722
310,9937
311,12598
312,2351
313,10196
314,14917
315,11244
316,6649
317,866
318,4419
319,1256
320,5480
321,10241
322,11829
323,5355
324,6064
325,3566
326,13537
327,13794
328,7972
329,13238
330,10686
331,1932
332,9712
333,7056
334,12983
335,5091
336,5799
337,14701
338,5599
339,5315
340,15276
341,2202
342,4008
343,11478
344,11579
345,14962
346,11809
347,2767
348,480
349,11452
350,10927
351,3497
352,2552
353,3649
354,14897
355,7299
356,4859
357,2194
358,3310
359,9340
360,1501
361,3643
362,13676
363,9283
364,11158
365,2804
366,5144
367,619
368,1644
369,9117
370,15099
371,14553
372,10393
373,7235
374,12712
375,7784
376,9950
377,14864
378,8184
379,413
380,2123
381,9563
382,8190
383,7294
384,15055
385,10743
386,7312
387,5532
388,5229
389,9816
390,3244
391,2424
392,5527
393,8821
394,13229
395,15295
396,14735
397,12962
398,8835
399,4894
400,13884
401,7291
402,9501
403,5124
404,11498
405,8362
406,7769
407,7036
408,14519
409,11123
410,551
411,2474
412,7358
413,3107
414,196
415,14740
416,1852
417,12927
418,2353
419,9858
420,14501
421,10014
422,11937
423,377
424,10150
425,15531
426,14754
427,9647
428,13061
429,15650
430,613
431,5244
432,11055
433,6487
434,15241
435,5269
436,11288
437,1447
438,13002
439,10290
440,4061
441,890
442,885
443,10972
444,12603
445,13488
446,2639
447,7323
448,6010
449,10132
450,6246
451,3533
452,9869
453,4575
454,14656
455,9678
456,583
457,4658
458,9575
459,12077
460,5248
461,5999
462,12263
463,13620
464,4097
465,13456
466,6816
467,6997
468,15219
469,313
470,11305
471,8521
472,8438
473,15117
474,4534
475,14624
476,5957
477,11098
478,10688
479,2923
480,9199
481,12849
482,11136
483,14470
484,9895
485,1185
486,11794
487,1615
488,523
489,6261
490,15464
491,2478
492,11143
493,8864
494,221
495,8681
496,2750
497,6645
498,6202
499,12794
500,10597
501,185
502,4884
503,12844
504,8085
505,15414
506,725
507,15158
508,12727
509,6913
510,12437
511,5489
512,3491
513,5878
514,9172
515,13071
516,13714
517,5158
518,3407
519,11042
520,13521
521,1353
522,9329
523,3499
524,590
525,6783
526,7765
527,14998
528,2052
529,10392
530,4703
531,13535
532,4903
533,8024
534,15070
535,13743
536,11631
537,15024
538,10199
539,14168
540,60
541,12558
542,6759
543,5529
544,1686
545,15320
546,11662
547,10567
548,15637
549,24
550,15129
551,427
552,2898
553,6590
554,15373
555,2679
556,5757
557,6608
558,198
559,2272
560,4767
561,12471
562,14651
563,213
564,1348
565,4389
566,61
567,3532
568,13108
569,13837
570,6048
571,13462
572,12813
